,County,Basin,GOM,DrillFor,Location,State/Province,Trajectory,Year,Month,US_PublishDate,Rig Count Value
UNITED STATES,WELD,DJ-Niobrara,No,Oil,Land,COLORADO,Horizontal,2020,10,02-10-2020,1
UNITED STATES,WEBB,Eagle Ford,No,Gas,Land,TEXAS,Horizontal,2020,10,02-10-2020,1
UNITED STATES,DE WITT,Eagle Ford,No,Oil,Land,TEXAS,Horizontal,2020,10,02-10-2020,1
UNITED STATES,GONZALES,Eagle Ford,No,Oil,Land,TEXAS,Horizontal,2020,10,02-10-2020,1
UNITED STATES,KARNES,Eagle Ford,No,Oil,Land,TEXAS,Horizontal,2020,10,02-10-2020,6
UNITED STATES,MCMULLEN,Eagle Ford,No,Oil,Land,TEXAS,Horizontal,2020,10,02-10-2020,1
UNITED STATES,WEBB,Eagle Ford,No,Oil,Land,TEXAS,Horizontal,2020,10,02-10-2020,2
UNITED STATES,CUSTER,Granite Wash,No,Oil,Land,OKLAHOMA,Horizontal,2020,10,02-10-2020,1
UNITED STATES,BIENVILLE,Haynesville,No,Gas,Land,LOUISIANA,Horizontal,2020,10,02-10-2020,2
UNITED STATES,BOSSIER,Haynesville,No,Gas,Land,LOUISIANA,Horizontal,2020,10,02-10-2020,2
UNITED STATES,CADDO,Haynesville,No,Gas,Land,LOUISIANA,Horizontal,2020,10,02-10-2020,4
UNITED STATES,DE SOTO,Haynesville,No,Gas,Land,LOUISIANA,Horizontal,2020,10,02-10-2020,6
UNITED STATES,NATCHITOCHES,Haynesville,No,Gas,Land,LOUISIANA,Horizontal,2020,10,02-10-2020,3
UNITED STATES,RED RIVER,Haynesville,No,Gas,Land,LOUISIANA,Horizontal,2020,10,02-10-2020,6
UNITED STATES,SABINE,Haynesville,No,Gas,Land,LOUISIANA,Horizontal,2020,10,02-10-2020,1
UNITED STATES,DE SOTO,Haynesville,No,Gas,Land,LOUISIANA,Vertical,2020,10,02-10-2020,1
UNITED STATES,HARRISON,Haynesville,No,Gas,Land,TEXAS,Horizontal,2020,10,02-10-2020,2
UNITED STATES,PANOLA,Haynesville,No,Gas,Land,TEXAS,Horizontal,2020,10,02-10-2020,6
UNITED STATES,RUSK,Haynesville,No,Gas,Land,TEXAS,Horizontal,2020,10,02-10-2020,1
UNITED STATES,SAN AUGUSTINE,Haynesville,No,Gas,Land,TEXAS,Horizontal,2020,10,02-10-2020,2
UNITED STATES,ARMSTRONG,Marcellus,No,Gas,Land,PENNSYLVANIA,Horizontal,2020,10,02-10-2020,1
UNITED STATES,BRADFORD,Marcellus,No,Gas,Land,PENNSYLVANIA,Horizontal,2020,10,02-10-2020,2
UNITED STATES,CAMERON,Marcellus,No,Gas,Land,PENNSYLVANIA,Horizontal,2020,10,02-10-2020,1
UNITED STATES,GREENE,Marcellus,No,Gas,Land,PENNSYLVANIA,Horizontal,2020,10,02-10-2020,3
UNITED STATES,LYCOMING,Marcellus,No,Gas,Land,PENNSYLVANIA,Horizontal,2020,10,02-10-2020,3
UNITED STATES,SUSQUEHANNA,Marcellus,No,Gas,Land,PENNSYLVANIA,Horizontal,2020,10,02-10-2020,3
UNITED STATES,TIOGA,Marcellus,No,Gas,Land,PENNSYLVANIA,Horizontal,2020,10,02-10-2020,1
UNITED STATES,WASHINGTON,Marcellus,No,Gas,Land,PENNSYLVANIA,Horizontal,2020,10,02-10-2020,4
UNITED STATES,WYOMING,Marcellus,No,Gas,Land,PENNSYLVANIA,Horizontal,2020,10,02-10-2020,1
UNITED STATES,MARSHALL,Marcellus,No,Gas,Land,WEST VIRGINIA,Directional,2020,10,02-10-2020,1
UNITED STATES,TYLER,Marcellus,No,Gas,Land,WEST VIRGINIA,Directional,2020,10,02-10-2020,1
UNITED STATES,BROOKE,Marcellus,No,Gas,Land,WEST VIRGINIA,Horizontal,2020,10,02-10-2020,1
UNITED STATES,DODDRIDGE,Marcellus,No,Gas,Land,WEST VIRGINIA,Horizontal,2020,10,02-10-2020,1
UNITED STATES,MARSHALL,Marcellus,No,Gas,Land,WEST VIRGINIA,Horizontal,2020,10,02-10-2020,2
UNITED STATES,WETZEL,Marcellus,No,Gas,Land,WEST VIRGINIA,Horizontal,2020,10,02-10-2020,1
UNITED STATES,ST. MARY,Other,No,Oil,Inland Waters,LOUISIANA,Directional,2020,10,02-10-2020,1
UNITED STATES,KENAI PENINSULA,Other,No,Gas,Land,ALASKA,Directional,2020,10,02-10-2020,1
UNITED STATES,NORTH SLOPE,Other,No,Oil,Land,ALASKA,Horizontal,2020,10,02-10-2020,1
UNITED STATES,SONOMA,Other,No,Miscellaneous,Land,CALIFORNIA,Directional,2020,10,02-10-2020,1
UNITED STATES,KERN,Other,No,Oil,Land,CALIFORNIA,Directional,2020,10,02-10-2020,2
UNITED STATES,KERN,Other,No,Oil,Land,CALIFORNIA,Vertical,2020,10,02-10-2020,1
UNITED STATES,GARFIELD,Other,No,Gas,Land,COLORADO,Directional,2020,10,02-10-2020,1
UNITED STATES,HAWAII,Other,No,Miscellaneous,Land,HAWAII,Vertical,2020,10,02-10-2020,1
UNITED STATES,KNOX,Other,No,Gas,Land,INDIANA,Vertical,2020,10,02-10-2020,1
UNITED STATES,JEFFERSON DAVIS,Other,No,Oil,Land,LOUISIANA,Directional,2020,10,02-10-2020,1
UNITED STATES,JACKSON,Other,No,Gas,Land,LOUISIANA,Horizontal,2020,10,02-10-2020,1
UNITED STATES,ELLIS,Other,No,Oil,Land,OKLAHOMA,Horizontal,2020,10,02-10-2020,1
UNITED STATES,GARVIN,Other,No,Oil,Land,OKLAHOMA,Horizontal,2020,10,02-10-2020,1
UNITED STATES,KINGFISHER,Other,No,Oil,Land,OKLAHOMA,Horizontal,2020,10,02-10-2020,1
UNITED STATES,LOVE,Other,No,Oil,Land,OKLAHOMA,Horizontal,2020,10,02-10-2020,1
UNITED STATES,SAN PATRICIO,Other,No,Oil,Land,TEXAS,Directional,2020,10,02-10-2020,1
UNITED STATES,WASHINGTON,Other,No,Oil,Land,TEXAS,Horizontal,2020,10,02-10-2020,1
UNITED STATES,LAVACA,Other,No,Oil,Land,TEXAS,Vertical,2020,10,02-10-2020,1
UNITED STATES,SWEETWATER,Other,No,Oil,Land,WYOMING,Directional,2020,10,02-10-2020,1
UNITED STATES,EWING BANK,Other,Yes,Oil,Offshore,LOUISIANA,Directional,2020,10,02-10-2020,1
UNITED STATES,MISSISSIPPI CANYON,Other,Yes,Oil,Offshore,LOUISIANA,Directional,2020,10,02-10-2020,3
UNITED STATES,WALKER RIDGE,Other,Yes,Oil,Offshore,LOUISIANA,Directional,2020,10,02-10-2020,1
UNITED STATES,GARDEN BANKS,Other,Yes,Oil,Offshore,LOUISIANA,Vertical,2020,10,02-10-2020,1
UNITED STATES,GREEN CANYON,Other,Yes,Oil,Offshore,LOUISIANA,Vertical,2020,10,02-10-2020,1
UNITED STATES,MISSISSIPPI CANYON,Other,Yes,Oil,Offshore,LOUISIANA,Vertical,2020,10,02-10-2020,3
UNITED STATES,SOUTH MARSH ISLAND,Other,Yes,Oil,Offshore,LOUISIANA,Vertical,2020,10,02-10-2020,1
UNITED STATES,WALKER RIDGE,Other,Yes,Oil,Offshore,LOUISIANA,Vertical,2020,10,02-10-2020,1
UNITED STATES,ALAMINOS CANYON,Other,Yes,Oil,Offshore,TEXAS,Vertical,2020,10,02-10-2020,2
UNITED STATES,EDDY,Permian,No,Oil,Land,NEW MEXICO,Horizontal,2020,10,02-10-2020,23
UNITED STATES,LEA,Permian,No,Oil,Land,NEW MEXICO,Horizontal,2020,10,02-10-2020,20
UNITED STATES,EDDY,Permian,No,Miscellaneous,Land,NEW MEXICO,Vertical,2020,10,02-10-2020,1
UNITED STATES,ANDREWS,Permian,No,Oil,Land,TEXAS,Horizontal,2020,10,02-10-2020,2
UNITED STATES,BORDEN,Permian,No,Oil,Land,TEXAS,Horizontal,2020,10,02-10-2020,1
UNITED STATES,CULBERSON,Permian,No,Oil,Land,TEXAS,Horizontal,2020,10,02-10-2020,3
UNITED STATES,GLASSCOCK,Permian,No,Oil,Land,TEXAS,Horizontal,2020,10,02-10-2020,2
UNITED STATES,HOCKLEY,Permian,No,Oil,Land,TEXAS,Horizontal,2020,10,02-10-2020,1
UNITED STATES,HOWARD,Permian,No,Oil,Land,TEXAS,Horizontal,2020,10,02-10-2020,9
UNITED STATES,LOVING,Permian,No,Oil,Land,TEXAS,Horizontal,2020,10,02-10-2020,8
UNITED STATES,MARTIN,Permian,No,Oil,Land,TEXAS,Horizontal,2020,10,02-10-2020,18
UNITED STATES,MIDLAND,Permian,No,Oil,Land,TEXAS,Horizontal,2020,10,02-10-2020,17
UNITED STATES,PECOS,Permian,No,Oil,Land,TEXAS,Horizontal,2020,10,02-10-2020,1
UNITED STATES,REEVES,Permian,No,Oil,Land,TEXAS,Horizontal,2020,10,02-10-2020,9
UNITED STATES,SCURRY,Permian,No,Oil,Land,TEXAS,Horizontal,2020,10,02-10-2020,1
UNITED STATES,UPTON,Permian,No,Oil,Land,TEXAS,Horizontal,2020,10,02-10-2020,4
UNITED STATES,WARD,Permian,No,Oil,Land,TEXAS,Horizontal,2020,10,02-10-2020,4
UNITED STATES,WINKLER,Permian,No,Oil,Land,TEXAS,Horizontal,2020,10,02-10-2020,3
UNITED STATES,YOAKUM,Permian,No,Oil,Land,TEXAS,Horizontal,2020,10,02-10-2020,1
UNITED STATES,SCURRY,Permian,No,Oil,Land,TEXAS,Vertical,2020,10,02-10-2020,1
UNITED STATES,BELMONT,Utica,No,Gas,Land,OHIO,Directional,2020,10,02-10-2020,1
UNITED STATES,BELMONT,Utica,No,Gas,Land,OHIO,Horizontal,2020,10,02-10-2020,2
UNITED STATES,HARRISON,Utica,No,Gas,Land,OHIO,Horizontal,2020,10,02-10-2020,2
UNITED STATES,JEFFERSON,Utica,No,Gas,Land,OHIO,Horizontal,2020,10,02-10-2020,1
UNITED STATES,RICHLAND,Williston,No,Oil,Land,MONTANA,Horizontal,2020,10,02-10-2020,1
UNITED STATES,DUNN,Williston,No,Oil,Land,NORTH DAKOTA,Directional,2020,10,02-10-2020,1
UNITED STATES,DUNN,Williston,No,Oil,Land,NORTH DAKOTA,Horizontal,2020,10,02-10-2020,1
UNITED STATES,MCKENZIE,Williston,No,Oil,Land,NORTH DAKOTA,Horizontal,2020,10,02-10-2020,6
UNITED STATES,MOUNTRAIL,Williston,No,Oil,Land,NORTH DAKOTA,Horizontal,2020,10,02-10-2020,1
UNITED STATES,WILLIAMS,Williston,No,Oil,Land,NORTH DAKOTA,Horizontal,2020,10,02-10-2020,1
UNITED STATES,HUGHES,Arkoma Woodford,No,Gas,Land,OKLAHOMA,Horizontal,2020,10,09-10-2020,1
UNITED STATES,CANADIAN,Cana Woodford,No,Oil,Land,OKLAHOMA,Horizontal,2020,10,09-10-2020,2
UNITED STATES,GRADY,Cana Woodford,No,Oil,Land,OKLAHOMA,Horizontal,2020,10,09-10-2020,4
UNITED STATES,ADAMS,DJ-Niobrara,No,Oil,Land,COLORADO,Directional,2020,10,09-10-2020,1
UNITED STATES,WELD,DJ-Niobrara,No,Oil,Land,COLORADO,Directional,2020,10,09-10-2020,2
UNITED STATES,WELD,DJ-Niobrara,No,Oil,Land,COLORADO,Horizontal,2020,10,09-10-2020,1
UNITED STATES,WEBB,Eagle Ford,No,Gas,Land,TEXAS,Horizontal,2020,10,09-10-2020,1
UNITED STATES,DE WITT,Eagle Ford,No,Oil,Land,TEXAS,Horizontal,2020,10,09-10-2020,1
UNITED STATES,DIMMIT,Eagle Ford,No,Oil,Land,TEXAS,Horizontal,2020,10,09-10-2020,1
UNITED STATES,KARNES,Eagle Ford,No,Oil,Land,TEXAS,Horizontal,2020,10,09-10-2020,7
UNITED STATES,MCMULLEN,Eagle Ford,No,Oil,Land,TEXAS,Horizontal,2020,10,09-10-2020,1
UNITED STATES,WEBB,Eagle Ford,No,Oil,Land,TEXAS,Horizontal,2020,10,09-10-2020,2
UNITED STATES,CUSTER,Granite Wash,No,Oil,Land,OKLAHOMA,Horizontal,2020,10,09-10-2020,1
UNITED STATES,BIENVILLE,Haynesville,No,Gas,Land,LOUISIANA,Horizontal,2020,10,09-10-2020,2
UNITED STATES,BOSSIER,Haynesville,No,Gas,Land,LOUISIANA,Horizontal,2020,10,09-10-2020,2
UNITED STATES,CADDO,Haynesville,No,Gas,Land,LOUISIANA,Horizontal,2020,10,09-10-2020,4
UNITED STATES,DE SOTO,Haynesville,No,Gas,Land,LOUISIANA,Horizontal,2020,10,09-10-2020,6
UNITED STATES,NATCHITOCHES,Haynesville,No,Gas,Land,LOUISIANA,Horizontal,2020,10,09-10-2020,3
UNITED STATES,RED RIVER,Haynesville,No,Gas,Land,LOUISIANA,Horizontal,2020,10,09-10-2020,6
UNITED STATES,SABINE,Haynesville,No,Gas,Land,LOUISIANA,Horizontal,2020,10,09-10-2020,1
UNITED STATES,DE SOTO,Haynesville,No,Gas,Land,LOUISIANA,Vertical,2020,10,09-10-2020,1
UNITED STATES,HARRISON,Haynesville,No,Gas,Land,TEXAS,Horizontal,2020,10,09-10-2020,2
UNITED STATES,PANOLA,Haynesville,No,Gas,Land,TEXAS,Horizontal,2020,10,09-10-2020,6
UNITED STATES,RUSK,Haynesville,No,Gas,Land,TEXAS,Horizontal,2020,10,09-10-2020,1
UNITED STATES,SAN AUGUSTINE,Haynesville,No,Gas,Land,TEXAS,Horizontal,2020,10,09-10-2020,2
UNITED STATES,ARMSTRONG,Marcellus,No,Gas,Land,PENNSYLVANIA,Horizontal,2020,10,09-10-2020,1
UNITED STATES,BRADFORD,Marcellus,No,Gas,Land,PENNSYLVANIA,Horizontal,2020,10,09-10-2020,2
UNITED STATES,CAMERON,Marcellus,No,Gas,Land,PENNSYLVANIA,Horizontal,2020,10,09-10-2020,1
UNITED STATES,GREENE,Marcellus,No,Gas,Land,PENNSYLVANIA,Horizontal,2020,10,09-10-2020,2
UNITED STATES,LYCOMING,Marcellus,No,Gas,Land,PENNSYLVANIA,Horizontal,2020,10,09-10-2020,3
UNITED STATES,SUSQUEHANNA,Marcellus,No,Gas,Land,PENNSYLVANIA,Horizontal,2020,10,09-10-2020,3
UNITED STATES,TIOGA,Marcellus,No,Gas,Land,PENNSYLVANIA,Horizontal,2020,10,09-10-2020,1
UNITED STATES,WASHINGTON,Marcellus,No,Gas,Land,PENNSYLVANIA,Horizontal,2020,10,09-10-2020,4
UNITED STATES,WYOMING,Marcellus,No,Gas,Land,PENNSYLVANIA,Horizontal,2020,10,09-10-2020,1
UNITED STATES,MARSHALL,Marcellus,No,Gas,Land,WEST VIRGINIA,Directional,2020,10,09-10-2020,1
UNITED STATES,TYLER,Marcellus,No,Gas,Land,WEST VIRGINIA,Directional,2020,10,09-10-2020,1
UNITED STATES,BROOKE,Marcellus,No,Gas,Land,WEST VIRGINIA,Horizontal,2020,10,09-10-2020,1
UNITED STATES,DODDRIDGE,Marcellus,No,Gas,Land,WEST VIRGINIA,Horizontal,2020,10,09-10-2020,1
UNITED STATES,MARSHALL,Marcellus,No,Gas,Land,WEST VIRGINIA,Horizontal,2020,10,09-10-2020,2
UNITED STATES,WETZEL,Marcellus,No,Gas,Land,WEST VIRGINIA,Horizontal,2020,10,09-10-2020,1
UNITED STATES,ST. MARY,Other,No,Oil,Inland Waters,LOUISIANA,Directional,2020,10,09-10-2020,1
UNITED STATES,KENAI PENINSULA,Other,No,Gas,Land,ALASKA,Directional,2020,10,09-10-2020,1
UNITED STATES,NORTH SLOPE,Other,No,Oil,Land,ALASKA,Horizontal,2020,10,09-10-2020,1
UNITED STATES,SONOMA,Other,No,Miscellaneous,Land,CALIFORNIA,Directional,2020,10,09-10-2020,1
UNITED STATES,KERN,Other,No,Oil,Land,CALIFORNIA,Directional,2020,10,09-10-2020,2
UNITED STATES,KERN,Other,No,Oil,Land,CALIFORNIA,Vertical,2020,10,09-10-2020,1
UNITED STATES,GARFIELD,Other,No,Gas,Land,COLORADO,Directional,2020,10,09-10-2020,1
UNITED STATES,HAWAII,Other,No,Miscellaneous,Land,HAWAII,Vertical,2020,10,09-10-2020,1
UNITED STATES,KNOX,Other,No,Gas,Land,INDIANA,Vertical,2020,10,09-10-2020,1
UNITED STATES,JEFFERSON DAVIS,Other,No,Oil,Land,LOUISIANA,Directional,2020,10,09-10-2020,1
UNITED STATES,JACKSON,Other,No,Gas,Land,LOUISIANA,Horizontal,2020,10,09-10-2020,1
UNITED STATES,ELLIS,Other,No,Oil,Land,OKLAHOMA,Horizontal,2020,10,09-10-2020,1
UNITED STATES,GARVIN,Other,No,Oil,Land,OKLAHOMA,Horizontal,2020,10,09-10-2020,1
UNITED STATES,KINGFISHER,Other,No,Oil,Land,OKLAHOMA,Horizontal,2020,10,09-10-2020,1
UNITED STATES,LOVE,Other,No,Oil,Land,OKLAHOMA,Horizontal,2020,10,09-10-2020,1
UNITED STATES,SAN PATRICIO,Other,No,Oil,Land,TEXAS,Directional,2020,10,09-10-2020,1
UNITED STATES,BRAZORIA,Other,No,Oil,Land,TEXAS,Horizontal,2020,10,09-10-2020,1
UNITED STATES,FAYETTE,Other,No,Oil,Land,TEXAS,Horizontal,2020,10,09-10-2020,1
UNITED STATES,WASHINGTON,Other,No,Oil,Land,TEXAS,Horizontal,2020,10,09-10-2020,1
UNITED STATES,LAVACA,Other,No,Oil,Land,TEXAS,Vertical,2020,10,09-10-2020,1
UNITED STATES,SWEETWATER,Other,No,Oil,Land,WYOMING,Directional,2020,10,09-10-2020,1
UNITED STATES,EWING BANK,Other,Yes,Oil,Offshore,LOUISIANA,Directional,2020,10,09-10-2020,1
UNITED STATES,MISSISSIPPI CANYON,Other,Yes,Oil,Offshore,LOUISIANA,Directional,2020,10,09-10-2020,3
UNITED STATES,WALKER RIDGE,Other,Yes,Oil,Offshore,LOUISIANA,Directional,2020,10,09-10-2020,1
UNITED STATES,GARDEN BANKS,Other,Yes,Oil,Offshore,LOUISIANA,Vertical,2020,10,09-10-2020,1
UNITED STATES,GREEN CANYON,Other,Yes,Oil,Offshore,LOUISIANA,Vertical,2020,10,09-10-2020,1
UNITED STATES,MISSISSIPPI CANYON,Other,Yes,Oil,Offshore,LOUISIANA,Vertical,2020,10,09-10-2020,3
UNITED STATES,SOUTH MARSH ISLAND,Other,Yes,Oil,Offshore,LOUISIANA,Vertical,2020,10,09-10-2020,1
UNITED STATES,WALKER RIDGE,Other,Yes,Oil,Offshore,LOUISIANA,Vertical,2020,10,09-10-2020,1
UNITED STATES,ALAMINOS CANYON,Other,Yes,Oil,Offshore,TEXAS,Vertical,2020,10,09-10-2020,2
UNITED STATES,EDDY,Permian,No,Oil,Land,NEW MEXICO,Horizontal,2020,10,09-10-2020,24
UNITED STATES,LEA,Permian,No,Oil,Land,NEW MEXICO,Horizontal,2020,10,09-10-2020,20
UNITED STATES,EDDY,Permian,No,Miscellaneous,Land,NEW MEXICO,Vertical,2020,10,09-10-2020,1
UNITED STATES,SCURRY,Permian,No,Oil,Land,TEXAS,Directional,2020,10,09-10-2020,1
UNITED STATES,ANDREWS,Permian,No,Oil,Land,TEXAS,Horizontal,2020,10,09-10-2020,2
UNITED STATES,COCHRAN,Permian,No,Oil,Land,TEXAS,Horizontal,2020,10,09-10-2020,1
UNITED STATES,CULBERSON,Permian,No,Oil,Land,TEXAS,Horizontal,2020,10,09-10-2020,4
UNITED STATES,GLASSCOCK,Permian,No,Oil,Land,TEXAS,Horizontal,2020,10,09-10-2020,2
UNITED STATES,HOWARD,Permian,No,Oil,Land,TEXAS,Horizontal,2020,10,09-10-2020,9
UNITED STATES,LOVING,Permian,No,Oil,Land,TEXAS,Horizontal,2020,10,09-10-2020,8
UNITED STATES,MARTIN,Permian,No,Oil,Land,TEXAS,Horizontal,2020,10,09-10-2020,18
UNITED STATES,MIDLAND,Permian,No,Oil,Land,TEXAS,Horizontal,2020,10,09-10-2020,16
UNITED STATES,PECOS,Permian,No,Oil,Land,TEXAS,Horizontal,2020,10,09-10-2020,1
UNITED STATES,REEVES,Permian,No,Oil,Land,TEXAS,Horizontal,2020,10,09-10-2020,8
UNITED STATES,SCURRY,Permian,No,Oil,Land,TEXAS,Horizontal,2020,10,09-10-2020,2
UNITED STATES,UPTON,Permian,No,Oil,Land,TEXAS,Horizontal,2020,10,09-10-2020,5
UNITED STATES,WARD,Permian,No,Oil,Land,TEXAS,Horizontal,2020,10,09-10-2020,4
UNITED STATES,WINKLER,Permian,No,Oil,Land,TEXAS,Horizontal,2020,10,09-10-2020,4
UNITED STATES,BELMONT,Utica,No,Gas,Land,OHIO,Horizontal,2020,10,09-10-2020,2
UNITED STATES,HARRISON,Utica,No,Gas,Land,OHIO,Horizontal,2020,10,09-10-2020,2
UNITED STATES,JEFFERSON,Utica,No,Gas,Land,OHIO,Horizontal,2020,10,09-10-2020,2
UNITED STATES,RICHLAND,Williston,No,Oil,Land,MONTANA,Horizontal,2020,10,09-10-2020,1
UNITED STATES,DUNN,Williston,No,Oil,Land,NORTH DAKOTA,Directional,2020,10,09-10-2020,1
UNITED STATES,DUNN,Williston,No,Oil,Land,NORTH DAKOTA,Horizontal,2020,10,09-10-2020,1
UNITED STATES,MCKENZIE,Williston,No,Oil,Land,NORTH DAKOTA,Horizontal,2020,10,09-10-2020,6
UNITED STATES,MOUNTRAIL,Williston,No,Oil,Land,NORTH DAKOTA,Horizontal,2020,10,09-10-2020,1
UNITED STATES,WILLIAMS,Williston,No,Oil,Land,NORTH DAKOTA,Horizontal,2020,10,09-10-2020,1
UNITED STATES,HUGHES,Arkoma Woodford,No,Gas,Land,OKLAHOMA,Horizontal,2020,10,16-10-2020,1
UNITED STATES,CANADIAN,Cana Woodford,No,Oil,Land,OKLAHOMA,Horizontal,2020,10,16-10-2020,2
UNITED STATES,GRADY,Cana Woodford,No,Oil,Land,OKLAHOMA,Horizontal,2020,10,16-10-2020,5
UNITED STATES,WELD,DJ-Niobrara,No,Oil,Land,COLORADO,Directional,2020,10,16-10-2020,2
UNITED STATES,WELD,DJ-Niobrara,No,Oil,Land,COLORADO,Horizontal,2020,10,16-10-2020,1
UNITED STATES,WEBB,Eagle Ford,No,Gas,Land,TEXAS,Horizontal,2020,10,16-10-2020,1
UNITED STATES,DE WITT,Eagle Ford,No,Oil,Land,TEXAS,Horizontal,2020,10,16-10-2020,1
UNITED STATES,DIMMIT,Eagle Ford,No,Oil,Land,TEXAS,Horizontal,2020,10,16-10-2020,1
UNITED STATES,KARNES,Eagle Ford,No,Oil,Land,TEXAS,Horizontal,2020,10,16-10-2020,7
UNITED STATES,LA SALLE,Eagle Ford,No,Oil,Land,TEXAS,Horizontal,2020,10,16-10-2020,1
UNITED STATES,MCMULLEN,Eagle Ford,No,Oil,Land,TEXAS,Horizontal,2020,10,16-10-2020,1
UNITED STATES,WEBB,Eagle Ford,No,Oil,Land,TEXAS,Horizontal,2020,10,16-10-2020,3
UNITED STATES,MCMULLEN,Eagle Ford,No,Oil,Land,TEXAS,Vertical,2020,10,16-10-2020,1
UNITED STATES,BIENVILLE,Haynesville,No,Gas,Land,LOUISIANA,Horizontal,2020,10,16-10-2020,1
UNITED STATES,BOSSIER,Haynesville,No,Gas,Land,LOUISIANA,Horizontal,2020,10,16-10-2020,2
UNITED STATES,CADDO,Haynesville,No,Gas,Land,LOUISIANA,Horizontal,2020,10,16-10-2020,5
UNITED STATES,DE SOTO,Haynesville,No,Gas,Land,LOUISIANA,Horizontal,2020,10,16-10-2020,7
UNITED STATES,NATCHITOCHES,Haynesville,No,Gas,Land,LOUISIANA,Horizontal,2020,10,16-10-2020,3
UNITED STATES,RED RIVER,Haynesville,No,Gas,Land,LOUISIANA,Horizontal,2020,10,16-10-2020,5
UNITED STATES,SABINE,Haynesville,No,Gas,Land,LOUISIANA,Horizontal,2020,10,16-10-2020,1
UNITED STATES,HARRISON,Haynesville,No,Gas,Land,TEXAS,Horizontal,2020,10,16-10-2020,2
UNITED STATES,PANOLA,Haynesville,No,Gas,Land,TEXAS,Horizontal,2020,10,16-10-2020,7
UNITED STATES,RUSK,Haynesville,No,Gas,Land,TEXAS,Horizontal,2020,10,16-10-2020,1
UNITED STATES,SAN AUGUSTINE,Haynesville,No,Gas,Land,TEXAS,Horizontal,2020,10,16-10-2020,2
UNITED STATES,SHELBY,Haynesville,No,Gas,Land,TEXAS,Horizontal,2020,10,16-10-2020,1
UNITED STATES,GREENE,Marcellus,No,Gas,Land,PENNSYLVANIA,Directional,2020,10,16-10-2020,1
UNITED STATES,ARMSTRONG,Marcellus,No,Gas,Land,PENNSYLVANIA,Horizontal,2020,10,16-10-2020,1
UNITED STATES,BRADFORD,Marcellus,No,Gas,Land,PENNSYLVANIA,Horizontal,2020,10,16-10-2020,2
UNITED STATES,CAMERON,Marcellus,No,Gas,Land,PENNSYLVANIA,Horizontal,2020,10,16-10-2020,1
UNITED STATES,GREENE,Marcellus,No,Gas,Land,PENNSYLVANIA,Horizontal,2020,10,16-10-2020,2
UNITED STATES,LYCOMING,Marcellus,No,Gas,Land,PENNSYLVANIA,Horizontal,2020,10,16-10-2020,3
UNITED STATES,SUSQUEHANNA,Marcellus,No,Gas,Land,PENNSYLVANIA,Horizontal,2020,10,16-10-2020,3
UNITED STATES,TIOGA,Marcellus,No,Gas,Land,PENNSYLVANIA,Horizontal,2020,10,16-10-2020,1
UNITED STATES,WASHINGTON,Marcellus,No,Gas,Land,PENNSYLVANIA,Horizontal,2020,10,16-10-2020,3
UNITED STATES,WYOMING,Marcellus,No,Gas,Land,PENNSYLVANIA,Horizontal,2020,10,16-10-2020,1
UNITED STATES,MARSHALL,Marcellus,No,Gas,Land,WEST VIRGINIA,Directional,2020,10,16-10-2020,2
UNITED STATES,BROOKE,Marcellus,No,Gas,Land,WEST VIRGINIA,Horizontal,2020,10,16-10-2020,2
UNITED STATES,DODDRIDGE,Marcellus,No,Gas,Land,WEST VIRGINIA,Horizontal,2020,10,16-10-2020,1
UNITED STATES,HARRISON,Marcellus,No,Gas,Land,WEST VIRGINIA,Horizontal,2020,10,16-10-2020,1
UNITED STATES,MARSHALL,Marcellus,No,Gas,Land,WEST VIRGINIA,Horizontal,2020,10,16-10-2020,1
UNITED STATES,TYLER,Marcellus,No,Gas,Land,WEST VIRGINIA,Horizontal,2020,10,16-10-2020,1
UNITED STATES,ST. MARY,Other,No,Oil,Inland Waters,LOUISIANA,Directional,2020,10,16-10-2020,1
UNITED STATES,KENAI PENINSULA,Other,No,Gas,Land,ALASKA,Directional,2020,10,16-10-2020,1
UNITED STATES,NORTH SLOPE,Other,No,Oil,Land,ALASKA,Horizontal,2020,10,16-10-2020,1
UNITED STATES,SONOMA,Other,No,Miscellaneous,Land,CALIFORNIA,Directional,2020,10,16-10-2020,1
UNITED STATES,KERN,Other,No,Oil,Land,CALIFORNIA,Directional,2020,10,16-10-2020,2
UNITED STATES,KERN,Other,No,Oil,Land,CALIFORNIA,Vertical,2020,10,16-10-2020,1
UNITED STATES,GARFIELD,Other,No,Gas,Land,COLORADO,Directional,2020,10,16-10-2020,1
UNITED STATES,HAWAII,Other,No,Miscellaneous,Land,HAWAII,Vertical,2020,10,16-10-2020,1
UNITED STATES,KNOX,Other,No,Gas,Land,INDIANA,Vertical,2020,10,16-10-2020,1
UNITED STATES,JEFFERSON DAVIS,Other,No,Oil,Land,LOUISIANA,Directional,2020,10,16-10-2020,1
UNITED STATES,ELLIS,Other,No,Oil,Land,OKLAHOMA,Horizontal,2020,10,16-10-2020,1
UNITED STATES,KINGFISHER,Other,No,Oil,Land,OKLAHOMA,Horizontal,2020,10,16-10-2020,1
UNITED STATES,LOVE,Other,No,Oil,Land,OKLAHOMA,Horizontal,2020,10,16-10-2020,1
UNITED STATES,MAJOR,Other,No,Oil,Land,OKLAHOMA,Horizontal,2020,10,16-10-2020,1
